Region code,Industry code,Date,Number of total users,Number of resumption users,Total electric power consumption
1,100,2020/7/6 0:00,2340,1359,844016.6571
1,100,2020/7/9 0:00,2339,1399,869128.1429
1,100,2020/7/17 0:00,2338,1445,865353.9053
1,200,2020/7/3 0:00,123,86,90192.02
1,200,2020/7/4 0:00,123,84,99735.59
1,200,2020/7/7 0:00,123,90,94064.43
1,300,2020/7/3 0:00,2630,1684,69561.51
1,300,2020/7/4 0:00,2630,1684,70151.2103
1,300,2020/7/7 0:00,2622,1662,65649.08
1,400,2020/7/5 0:00,219,174,114395.03
1,400,2020/7/14 0:00,219,177,121334.704
1,500,2020/7/3 0:00,91,52,18812.39
1,500,2020/7/4 0:00,91,54,21356.54
1,500,2020/7/7 0:00,91,54,26953.18
1,05A0,2020/7/8 0:00,1720,1105,1358316.469
1,05A0,2020/7/10 0:00,1720,1135,1397614.457
1,05A0,2020/7/11 0:00,1720,1120,1397465.689
1,05A0,2020/7/15 0:00,1720,1142,1326452.575
1,610,2020/7/8 0:00,30,12,474667.9
1,610,2020/7/10 0:00,30,12,495016.45
1,610,2020/7/11 0:00,30,12,474580.05
1,610,2020/7/15 0:00,30,12,489424.85
1,690,2020/7/1 0:00,15,7,563.41
1,690,2020/7/2 0:00,15,7,635.28
1,690,2020/7/18 0:00,15,6,701.39
1,690,2020/7/23 0:00,15,6,454.48
1,720,2020/7/1 0:00,4,3,416.1
1,720,2020/7/2 0:00,4,3,382.5
1,720,2020/7/18 0:00,4,3,407.7
1,720,2020/7/23 0:00,4,3,402
1,810,2020/7/8 0:00,3,3,66.18
1,810,2020/7/10 0:00,3,3,91.99
1,810,2020/7/11 0:00,3,3,82.66
1,810,2020/7/15 0:00,3,3,90.96
1,820,2020/7/1 0:00,1,1,36
1,820,2020/7/2 0:00,1,1,34.35
1,820,2020/7/18 0:00,1,1,32.55
1,820,2020/7/23 0:00,1,1,22.35
1,910,2020/7/12 0:00,4,0,140.75
1,910,2020/7/19 0:00,4,0,280.6
1,910,2020/7/20 0:00,4,0,140.75
1,1010,2020/7/5 0:00,171,61,220230.08
1,1010,2020/7/14 0:00,171,63,221839.5332
1,1020,2020/7/8 0:00,2,0,0.52
1,1020,2020/7/10 0:00,2,0,0.49
1,1020,2020/7/11 0:00,2,0,0.5
1,1020,2020/7/15 0:00,2,0,0.49
1,1030,2020/7/8 0:00,1,0,51
1,1030,2020/7/10 0:00,1,0,24.3
1,1030,2020/7/11 0:00,1,0,21.75
1,1030,2020/7/15 0:00,1,0,24.45
1,1090,2020/7/1 0:00,3,2,18.2
1,1090,2020/7/2 0:00,3,2,18.17
1,1090,2020/7/18 0:00,3,1,13.84
1,1090,2020/7/23 0:00,3,1,15.94
