Region code,Industry code,Date,Number of total users,Number of resumption users,Total electric power consumption
1,100,2020/8/5 0:00,2339,1361,793108.8553
1,100,2020/8/10 0:00,2339,1334,803279.177
1,100,2020/8/16 0:00,2339,1298,801048.0086
1,200,2020/8/5 0:00,123,80,93219.99
1,200,2020/8/8 0:00,123,73,91818.4167
1,200,2020/8/14 0:00,123,76,69004.1993
1,200,2020/8/16 0:00,123,74,85185.79
1,300,2020/8/5 0:00,2621,1653,68146.58
1,300,2020/8/8 0:00,2621,1673,72862.99
1,300,2020/8/10 0:00,2620,1665,73877.36
1,300,2020/8/14 0:00,2620,1633,63698.61
1,300,2020/8/16 0:00,2621,1633,68100.21
1,400,2020/8/5 0:00,219,167,121337.93
1,400,2020/8/10 0:00,219,170,129320.85
1,400,2020/8/16 0:00,219,160,117355.82
1,500,2020/7/30 0:00,91,43,12000.25
1,500,2020/8/7 0:00,91,49,12052.6667
1,500,2020/8/11 0:00,91,45,11411.89
1,05A0,2020/8/5 0:00,1721,1035,1308032.983
1,05A0,2020/8/10 0:00,1721,1035,1294571.77
1,05A0,2020/8/16 0:00,1721,913,1152915.082
1,610,2020/7/30 0:00,30,11,438019.95
1,610,2020/8/7 0:00,30,11,491351.6
1,610,2020/8/11 0:00,30,11,458298.4
1,720,2020/7/31 0:00,4,3,414.6
1,720,2020/8/1 0:00,4,3,386.4
1,720,2020/8/12 0:00,4,3,414.6
1,720,2020/8/15 0:00,4,3,443.4
1,810,2020/7/29 0:00,3,2,35.36
1,810,2020/8/3 0:00,3,2,34.17
1,810,2020/8/8 0:00,3,2,40.98
1,810,2020/8/14 0:00,3,2,25.97
1,820,2020/7/31 0:00,1,1,25.35
1,820,2020/8/1 0:00,1,1,28.05
1,820,2020/8/12 0:00,1,1,36.6
1,820,2020/8/15 0:00,1,1,28.8
1,910,2020/7/31 0:00,4,0,140.6
1,910,2020/8/2 0:00,4,0,280.45
1,910,2020/8/4 0:00,4,0,280.45
1,910,2020/8/13 0:00,4,0,140.6
1,1010,2020/8/8 0:00,170,51,145629.5
1,1010,2020/8/14 0:00,170,53,124573.09
1,1010,2020/8/16 0:00,170,53,119855.5
1,1020,2020/8/5 0:00,2,0,0.49
1,1020,2020/8/8 0:00,2,0,0.49
1,1020,2020/8/10 0:00,2,0,0.49
1,1020,2020/8/14 0:00,2,0,0.49
1,1020,2020/8/16 0:00,2,0,0.49
1,1030,2020/7/30 0:00,1,0,22.35
1,1030,2020/8/7 0:00,1,0,20.7
1,1030,2020/8/11 0:00,1,0,28.05
1,1090,2020/8/2 0:00,3,1,16.57
1,1090,2020/8/4 0:00,3,1,14.15
1,1090,2020/8/6 0:00,3,1,16.37
1,1090,2020/8/13 0:00,3,2,72.55
1,1110,2020/7/29 0:00,26,22,6736.93
1,1110,2020/8/3 0:00,26,21,6277.53
1,1110,2020/8/8 0:00,26,21,5850.25
1,1110,2020/8/14 0:00,26,21,5036.34
1,1190,2020/7/29 0:00,24,5,779.22
1,1190,2020/8/3 0:00,23,6,1485.88
1,1190,2020/8/8 0:00,23,6,882.35
1,1190,2020/8/14 0:00,23,6,1220.65
1,1310,2020/7/29 0:00,106,48,35526.2152
1,1310,2020/8/3 0:00,106,50,29425.0433
1,1310,2020/8/7 0:00,106,50,33056.53
1,1320,2020/7/29 0:00,3075,1473,103733.1561
1,1320,2020/8/8 0:00,3075,1479,108284.53
1,1320,2020/8/14 0:00,3075,1453,85169.29
1,1330,2020/8/5 0:00,135,59,32786.2567
1,1330,2020/8/8 0:00,135,59,13965.2171
1,1330,2020/8/10 0:00,135,59,31114.6167
1,1330,2020/8/14 0:00,134,58,28410.8567
1,1330,2020/8/16 0:00,135,57,29662.9067
1,1340,2020/8/9 0:00,1,1,4.8
1,1350,2020/7/29 0:00,29,17,50360.29
1,1350,2020/8/8 0:00,29,18,47983.17
1,1350,2020/8/14 0:00,29,14,44169.44
1,1360,2020/7/29 0:00,4,2,9676.37
1,1360,2020/8/3 0:00,4,3,5246.12
1,1360,2020/8/7 0:00,4,3,4967.55
1,1370,2020/7/29 0:00,32,16,27308.38
1,1370,2020/7/30 0:00,32,16,27529.43
1,1370,2020/8/3 0:00,32,17,25735.06
1,1370,2020/8/7 0:00,32,18,24968.63
1,1370,2020/8/11 0:00,32,16,25626.68
1,1390,2020/7/29 0:00,1054,461,96705.4194
1,1390,2020/8/8 0:00,1054,468,85240.4703
1,1390,2020/8/14 0:00,1054,445,76480.2597
1,1410,2020/8/5 0:00,168,67,19650.09
1,1410,2020/8/10 0:00,168,64,15954.86
1,1410,2020/8/16 0:00,168,64,19477.2733
1,1420,2020/8/5 0:00,7,5,583.47
1,1420,2020/8/10 0:00,7,5,462.58
1,1420,2020/8/16 0:00,7,5,462.68
1,1450,2020/7/30 0:00,3,1,9405
1,1450,2020/8/7 0:00,3,2,11205
1,1450,2020/8/11 0:00,3,2,31560
1,1460,2020/8/5 0:00,26,12,6614.54
1,1460,2020/8/10 0:00,26,12,6652.61
1,1460,2020/8/16 0:00,26,11,8478.42
1,1490,2020/8/1 0:00,149,65,33698.8942
1,1490,2020/8/12 0:00,149,64,33514.7233
1,1490,2020/8/15 0:00,149,63,33233.5436
1,1530,2020/7/31 0:00,23,5,72629.82
1,1530,2020/8/1 0:00,23,6,71769.05
1,1530,2020/8/12 0:00,23,10,182390.54
1,1530,2020/8/15 0:00,23,8,216660.35
1,1540,2020/8/5 0:00,1,1,58.4
1,1540,2020/8/10 0:00,1,1,57.6
1,1540,2020/8/16 0:00,1,1,51.2
1,1620,2020/8/1 0:00,1,1,71500
1,1620,2020/8/12 0:00,1,1,81840
1,1620,2020/8/15 0:00,1,1,73520
1,1690,2020/8/2 0:00,1,1,294
1,1690,2020/8/4 0:00,1,1,280.2
1,1690,2020/8/6 0:00,1,1,318.6
1,1690,2020/8/9 0:00,1,1,326.4
1,1690,2020/8/13 0:00,1,1,331.2
1,1710,2020/8/2 0:00,7,3,65.27
1,1710,2020/8/4 0:00,7,3,58.38
1,1710,2020/8/6 0:00,7,3,69.48
1,1710,2020/8/13 0:00,7,3,61.39
1,1720,2020/7/31 0:00,9,6,13456.22
1,1720,2020/8/1 0:00,9,5,13040.41
1,1720,2020/8/12 0:00,9,5,13937.22
1,1720,2020/8/15 0:00,9,6,15153.41
1,1740,2020/7/31 0:00,1,1,6.69
1,1740,2020/8/1 0:00,1,1,7.8
1,1740,2020/8/12 0:00,1,1,17.27
1,1740,2020/8/15 0:00,1,1,6.4
1,1750,2020/7/31 0:00,10,4,4967.39
1,1750,2020/8/1 0:00,10,4,6616.51
1,1750,2020/8/12 0:00,10,3,7516.3
1,1750,2020/8/15 0:00,10,4,7175.9
1,1760,2020/7/31 0:00,5,2,18.76
1,1760,2020/8/1 0:00,5,2,19.4
1,1760,2020/8/12 0:00,5,2,21.4
1,1760,2020/8/15 0:00,5,2,21.55
1,1770,2020/7/31 0:00,36,12,135174.1552
1,1770,2020/8/1 0:00,36,12,189224.8534
1,1770,2020/8/12 0:00,36,12,140234.1634
1,1770,2020/8/15 0:00,36,11,191161.1334
1,1780,2020/7/31 0:00,12,6,997.68
1,1780,2020/8/1 0:00,12,6,860.37
1,1780,2020/8/12 0:00,12,6,2530.51
1,1780,2020/8/15 0:00,12,6,2572.53
1,1810,2020/8/5 0:00,39,19,13265.79
1,1810,2020/8/8 0:00,39,18,13177.74
1,1810,2020/8/10 0:00,39,19,11347.74
1,1810,2020/8/14 0:00,39,18,11012.91
1,1810,2020/8/16 0:00,39,18,11586.03
1,1840,2020/7/29 0:00,15,8,35851.75
1,1840,2020/8/3 0:00,15,8,39272.69
1,1840,2020/8/7 0:00,15,8,38883.26
1,1850,2020/7/31 0:00,24,7,5030.21
1,1850,2020/8/4 0:00,24,6,4690.99
1,1850,2020/8/12 0:00,24,7,1149.34
1,1850,2020/8/13 0:00,24,6,769.78
1,1850,2020/8/15 0:00,24,5,345.69
1,1910,2020/7/30 0:00,4,3,25
1,1910,2020/8/7 0:00,4,3,39.73
1,1910,2020/8/11 0:00,4,3,45.28
1,1920,2020/8/6 0:00,11,6,93.5567
1,1920,2020/8/9 0:00,11,5,88.9167
1,1930,2020/7/31 0:00,3,0,19.2
1,1930,2020/8/1 0:00,3,0,0
1,1930,2020/8/12 0:00,3,0,0
1,1930,2020/8/15 0:00,3,0,0
1,1940,2020/8/1 0:00,2,1,45.88
1,1950,2020/8/5 0:00,8,1,17
1,1950,2020/8/10 0:00,8,1,19.53
1,1950,2020/8/16 0:00,8,1,14.15
1,2010,2020/8/2 0:00,239,103,14245.58
1,2010,2020/8/4 0:00,239,105,24236.5
1,2010,2020/8/6 0:00,239,104,22108.79
1,2010,2020/8/13 0:00,239,105,29174.57
1,2020,2020/8/1 0:00,3,2,92.63
1,2020,2020/8/12 0:00,3,2,87.12
1,2031,2020/8/2 0:00,42,17,15208.12
1,2031,2020/8/6 0:00,41,17,1373.36
1,2031,2020/8/9 0:00,42,18,3496.35
1,2032,2020/8/2 0:00,16,9,339
1,2032,2020/8/4 0:00,16,9,332.42
1,2032,2020/8/6 0:00,16,8,349.25
1,2032,2020/8/9 0:00,16,9,337.86
1,2032,2020/8/13 0:00,16,9,313.28
1,2039,2020/7/30 0:00,49,17,1803.52
1,2039,2020/8/3 0:00,49,17,1343.23
1,2039,2020/8/7 0:00,49,16,1965.54
1,2039,2020/8/11 0:00,49,15,871.89
1,2040,2020/7/30 0:00,23,10,163.95
1,2040,2020/8/11 0:00,23,10,235.98
1,2110,2020/8/9 0:00,192,80,9955.93
1,2130,2020/8/5 0:00,6,4,1032.46
1,2130,2020/8/10 0:00,6,4,1047.07
1,2130,2020/8/16 0:00,6,4,1195.7
1,2140,2020/8/5 0:00,1,1,4.63
1,2140,2020/8/8 0:00,1,1,4.1
1,2140,2020/8/14 0:00,1,1,4.32
1,2140,2020/8/16 0:00,1,1,5.36
1,2190,2020/8/5 0:00,82,37,9320.79
1,2190,2020/8/8 0:00,82,38,12393.44
1,2190,2020/8/14 0:00,82,32,6656.12
1,2190,2020/8/16 0:00,82,34,7867.84
1,2210,2020/8/9 0:00,3,2,5961.8
1,2220,2020/7/31 0:00,7,5,1587.4
1,2220,2020/8/4 0:00,7,4,2285.6
1,2220,2020/8/13 0:00,7,4,1595
1,2230,2020/8/1 0:00,78,26,38464.96
1,2230,2020/8/12 0:00,78,27,35501.62
1,2230,2020/8/15 0:00,78,26,34305.67
1,2310,2020/8/5 0:00,76,44,47478.5167
1,2310,2020/8/10 0:00,76,45,38028.4367
1,2320,2020/7/31 0:00,35,14,25078.32
1,2320,2020/8/1 0:00,35,14,22081.78
1,2320,2020/8/12 0:00,35,12,17421.09
1,2320,2020/8/15 0:00,35,11,12914.64
1,2330,2020/8/1 0:00,2,1,402.4
1,2330,2020/8/12 0:00,2,1,448.4
1,2330,2020/8/15 0:00,2,1,456
1,2410,2020/8/6 0:00,3,1,49.67
1,2410,2020/8/9 0:00,3,1,35.59
